lob_1_desc,ci_industry,no_of_banks,cr_credit_rating,cl_total_revenue_ytd,Revenue_2017,Revenue_2018,Revenue_2019,Revenue_2020,Revenue_2021,tot_rev_ytd,Cost_2017,Cost_2018,Cost_2019,Cost_2020,Cost_2021,tot_cost_ytd,2017_profit,2018_profit,2019_profit,2020_profit,2021_profit,total_profit,limit_cons,limit_mb,actual_try_revenue,actual_plm_revenue,actual_trade_revenue,actual_loan_revenue,actual_investment_banking_revenue,loan_nii,od_nii,stl_nii,syndication_revenue,real_estate_revenue,dect_capital_mkt_revenue,ipo_revenue,merger_acquisition_revenue,doc_collection_revenue,trust_receipt_revenue,letter_of_credit_revenue,export_lc_revenue,export_lafb_revenue,export_fbp_revenue,export_doc_collection_revenue,export_lc_discounting_revenue,factoring_lrd_revenue,factoring_nonlrd_revenue,letter_of_guarantee_revenue,counter_letter_of_guarantee_revenue,two_factor_i_and_e_factoring_under_fci_and_collections_revenue,buyer_led_supplier_finance_revenue,strcutured_trade_and_commodity_finance_revenue,core_payments_float_revenue,matrix_mbol_fee_revenue,recoveries_tt_fee_revenue,h2h_gr_swift_echqs_revenue,cardless_cash_revenue,cash_delivery_lcy_and_fcy_revenue,deposits_revenue,cash_concentration_revenue,cash_sweeping_revenue,notional_pooling_revenue,interest_optimization_and_enhancement_revenue,cash_management_commission_revenues_ytd,cash_management_fx_fee_ytd,cash_management_revenue,cash_docs_collection_revenue,virtual_accounts_ccs_monster_machines_revenue,dd_chq_collection_revenue,corporate_credit_card_revenue,core_payments_revenue,pos_revenue,liquidity_management_revenue,core_collection_revenue,fx_flow_revenue,rates_flow_revenue,irs_ccs_swaptions_revenue,fx_swaps_swaptions_revenue,reverse_repo_revenue,trading_of_debt_securities_revenue,treasury_services_try_brokerage_ytd,treasury_services_try_asset_management_ytd,treasury_services_try_mis_ytd,no_of_months_inactive_ly,is_inactive,total_active_period,ci_customer_group_identification,customer_id,RelationshipManager,customer_lv_title,group_lv_title
Trading Companies,None,0.0,0.0,0.0,14742.018,6383.308000000001,2188.095,0.0,0.0,23313.421000000002,94965.34800000001,18028.135,220.53599999999997,0.0,0.0,113214.019,-80223.33,-11644.827,1967.559,0.0,0.0,-89900.59800000001,0.0,0.0,0.0,19888.0,0.0,3425.0,0.0,3425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18238.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,10158510.0,100,0,4853,5342
Trading Companies,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",0.0,17.0,84.887,23456.16,376.879,3181.342,1052.096,84.887,28151.363999999998,17544.397,134.917,2486.041,211.396,27.377,20404.128,5911.763000000001,241.96200000000002,695.301,840.7,57.51,7747.236,0.0,0.0,0.0,27999.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6543.0,0.0,0.0,0.0,0.0,0.0,21455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,102,2,1514,1514
Services & Manufacturing,None,0.0,17.0,13.325,6457.696,28.278000000000002,62.81100000000001,33.786,13.325,6595.896,1221.025,197.69299999999998,50.215,44.081,32.461999999999996,1545.476,5236.670999999999,-169.415,12.595999999999998,-10.295,-19.137,5050.42,0.0,0.0,0.0,3554.0,618.0,2420.0,0.0,2420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.0,0.0,0.0,0.0,339.0,2400.0,0.0,0.0,0.0,0.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10000291.0,103,3,390,390
Trading Companies,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",0.0,17.0,16931.773999999998,67392.849,66986.045,50208.419,59748.742,16931.773999999998,261267.829,144047.18099999998,118779.603,135600.794,218589.991,39699.365,656716.934,-76654.332,-51793.558,-85392.375,-158841.249,-22767.591,-395449.105,0.0,0.0,3233.0,219254.0,3253.0,35524.0,0.0,35524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253.0,0.0,0.0,0.0,0.0,10767.0,2500.0,450.0,0.0,0.0,0.0,205532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219254.0,0.0,0.0,0.0,3233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,104,2,1514,1514
Services & Manufacturing,"Manufacturing Industries, Not Elsewhere Classified",1.0,17.0,172236.81,250119.883,207361.78,263996.42100000003,327311.702,172236.81,1221026.596,93564.462,271314.333,301560.607,112556.671,67884.041,846880.1140000001,156555.421,-63952.553,-37564.186,214755.03100000002,104352.769,374146.482,35967000.0,29807330.0,541801.0,519699.0,16156.0,101571.0,0.0,101571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,14312.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,0.0,0.0,0.0,0.0,111606.0,11200.0,92558.0,0.0,0.0,0.0,304330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519699.0,0.0,0.0,0.0,541801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10000469.0,106,5,1945,1945
Contracting Finance,"General Contractors Residential Buildings, other than SingleFamily",0.0,17.0,17065.506999999998,69611.428,75906.909,37008.454,35724.07,17065.506999999998,235316.36800000002,5251.302,7050.757,4492.555,5179.269,2510.779,24484.662,64360.126,68856.152,32515.898999999998,30544.801,14554.728000000001,210831.706,0.0,0.0,0.0,235115.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9786.0,0.0,110.0,0.0,0.0,0.0,225216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10000623.0,107,6,570,570
Special Assets,Nonclassifiable Establishments,3.0,22.0,0.0,1386369.621,-69863.866,264769.938,0.0,0.0,1581275.6930000002,11781.722,1371.364,204.326,0.0,0.0,13357.412,1374587.899,-71235.23,264565.61199999996,0.0,0.0,1567918.281,431473000.0,0.0,0.0,1100.0,0.0,1580175.0,0.0,1580175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,10000793.0,108,7,4923,4923
Trading Companies,Family Clothing Stores,4.0,16.0,1610.69,752490.218,340355.612,50163.187999999995,5185.42,1610.69,1149805.128,844933.938,215474.62,777.028,328.144,594.673,1062108.403,-92443.72,124880.992,49386.16,4857.276,1016.0169999999999,87696.725,49050000.0,40000000.0,491850.0,564145.0,83324.0,10480.0,0.0,10480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,82455.0,0.0,0.0,0.0,0.0,505584.0,5400.0,37703.0,0.0,0.0,0.0,15457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564145.0,0.0,0.0,0.0,491850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10000875.0,109,8,4985,4985
Trading Companies,"Textile Goods, Not Elsewhere Classified",1.0,14.0,0.0,21792.292999999998,23354.147,-395.966,0.0,0.0,44750.474,121188.31199999999,56976.514,12.133,0.0,0.0,178176.95899999997,-99396.019,-33622.367,-408.099,0.0,0.0,-133426.485,17000000.0,13000000.0,825.0,17826.0,0.0,4864.0,0.0,4864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15319.0,5867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14064.0,0.0,3761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17826.0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,10000968.0,1011,9,4640,4640
Services & Manufacturing,Deep Sea Freight Transportation,0.0,17.0,0.0,273051.273,50916.185,54392.459,16672.603,0.0,395032.52,565610.57,26222.189,5071.029,2871.861,0.0,599775.649,-292559.297,24693.996,49321.43,13800.742,0.0,-204743.129,0.0,0.0,5600.0,324525.0,45129.0,4523.0,0.0,4523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45129.0,0.0,0.0,0.0,0.0,259992.0,2050.0,5570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56911.0,0.0,56911.0,0.0,0.0,0.0,0.0,267613.0,0.0,56911.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,56.0,10125904.0,1012,10,666,1173
